@relation dataset_training

@attribute 'isi pengaduan' string
@attribute 'instansi tujuan' {'Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar','Dinas Perhubungan Kota Denpasar','PDAM Kota Denpasar'}

@data
'lapor mangkas pohon tanggal putar peguyangan jalan a yani utara tindak lapang tunggu pohon tumbang korban jiwa cuaca tentu mohon respons cepat kait terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon dinas kait menindaklanjuti alamat jalan pulau moyo iv','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'selamat pagi angkut sampah jalan kartini tolong perhati minggu sampah angkut jam pagi jam aktivitas warga ramai sampah tumpuk halang akses masuk mobil salah huni warga dinas bersih baik sistem manajemen angkut sampah lapor tunggu tindak janji terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon potong ranting pohon jalan kapten japa bahaya kabel listrik angin keras ranting bahaya guna jalan terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon dklh rompes pohon ketapang jalan sandat sandat gang iv denpasar','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'selamat siang atur perintah perda atur bakar sampah liar area mukim buang sampah liar tanah kosong sungai bunyi atur sanksi langgar prosedur lapor langgar bakar sampah lingkung mukim buang sampah sungai tanah kosong ilegal lumrah orang tindak terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'om swastyastu titiang ngangganin prajuru pura dalem kayangan badung mohon bantu pimpin dinas kait tangan potong pohon bangun pura bahaya ada pura habis baik akibat timpa pohon pembloderan sampah area tembok sengker pura praje pati tumpuk bau sekian mohon moga tindak lanjut','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'salur air mampat klinik bina usada gatot subroto barat hujan lebat got luber jalan meter got sungai salur mampat mohon bantu kait got lancar','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon info sistem jemput sampah truk sampah kota denpasar kali lihat truk sampah ambil sampah bak sampah pu ayan ambil habis sampah tumpuk d timbul bau busuk','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'instansi kait dkp pln telkom mohon bantu potong dahan pohon halaman rumah rumah blok a jalan bungtomo utama bungtomo viii kondisi dahan tindih kabel milik pln telkom berani potong dahan takut kabel plnnya kelupas akibat patal terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'jumat april lingkung banjar sading sari jumat bersih bpbd turun onggok main bebek bebe jadi wisata dam buagan onggok semenjak bangun sodet taun rongsok mohon angkut kayu gelondong bekas rompes pohon kalo hujan air genang main sarang nyamuk terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'selamat pagi mohon bantu lapor trotoar ice mall teuku umar air limbah bau sedap','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'selamat siang aju mohon ukl upl nama tri kartono andaries untuk kantor administrasi lokasi jalan gatot subroto barat cek lapang tim tanggal maret revisi dokumen lengkap serah dlhk kembang ukl upl terbit mohon info','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'warga padang sumbu resah krisis air bersih hotel mewah sumur bor hotel mewah buang limbah sungai lokasi jalan dewi saraswati ii','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon bantu atensi kait pohon tumbang pinggir sungai jalan pulau biak kemarin siang sungguh tangan kait batang induk dahan total jatuh sungai hambat lancar alir sungai endap sampah akibat halang batang dahan pohon tumbang tugas cuman tunda akibat alat sensor tumpul pakai batang induk bengkalai sangkut sampah sangkut bangkai anjing timbul bau sedap mohon atensi kerja dinas pu dlhk','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'selamat pagi lanjut ukl upl kantor nama tri kartono andaries selesai tolong info ya','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'selamat malam dinas kait layan angkut sampah sofa bekas layan mohon informasi','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon kait ecek ijin sumur bor hotel bintang hotel buang limbah hotel sungai nama hotel the yogasari jalan dewi saraswati blok no denpasar barat','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'selamat sore mohon bantu potong pohon indang jalan moh yamin lebat halang pasang penjor halang pohon indang angin kencang terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'usaha semen empat timur lotte mart by pass biang sisa tumpah semen sungai','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'layan pesan gadis niat layan pesan gadis buang sampah kasur lemari pas telepon nomor dlhk cs bilang layan pesan gadis terima sampah suruh cari mobil langsung buang layan pesan gadis hoax salah baca berita ya','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'semenjak truk sampah tarik pemkot sampah rumah tumpuk pakai tukang sampah datang minggu kadang lupa adu sampah','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'pohon indang jalan gunung agung no denbar lapang kompyang sujana lap buyung kondisi ganggu sebab atap talang air sumbat bengkel pusaka agung motor mohon instansi kait menindaklanjuti sekian terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'tugas wenang mohon tiang lapor selokan got penuh limbah rumah tangga sebab bau sedap sarang sakit mohon cek ditindaklanjuti tepat selokan banjar tembau kaja jalan trengguli arah arah selatan mohon ditindaklanjuti','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'pohon indang pohon pinggir jalan gunung agung no denpasar kondisi pohon musim gugur daun ganggu nyaman sebab atap talang air mampat bocor bengkel pusaka agung motor utara lap kompyang sujana lap buyung mohon instansi kait menindaklanjuti lapor sekian terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon kait sungai jalan taman pancing denpasar selatan busa','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'lingkung rumah ternak babi wayan ganggu bau timbul terna babi mohon instansi tangan kece terima kasih lokasi jalan trenggana gang d banjar lagan','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon satapiol pp kota denpasar informasi sungai jalan taman pancing denpasar selatan busa limbah sablon sungai terima kasih tunggu tindaklanjutnya','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'selamat malam samping tugas mulia staf pegawai mungut sampah kota denpasar saran mungut sampah daerah jalan padma trengguli trenggana nagasari ubah mobil pungut sampah operasi jam jam volume kendara tingkat sore volume kendara tingkat proses terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'sekda kota denpasar informasi sungai jalan taman pancing denpasar selatan bulan busa dinas lingkung hidup sungai busa','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon dinas kait rompes pohon indang mcd sanur musim angin kencang lokasi tepat sesuai map lokasi jalan danau kerinci gang xii','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'tolong dinas kait rompes pohon indang rimbun mcd sanur jalan danau buyan traffic light tepat','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'sampah rusak taman kota baik','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'tolong dinas kait rompes pohon indang traffic light tepat traffic light arah jalan sedap malam pohon indang rimbun','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'sampah tukad badung tepat pinggir sungai tata lokasi jembatan tukad badung jalan gajah mada pintu masuk pasar kumba sari','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'selamat siang pohon indang jalan set banjar lantang pejuh no rumah wayan medan akar pohon tumbuh merajan retak tembok merajan batang pohon lewat merajan takut jatuh timpa bangun merajan mohon tindaklanjut kait tebang takut salah wewenang tugas terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'tukang kebun gor ngurah rai bakar sampah gor ngurah rai lokasi sekolah asap bakar sampah sebab sakit kanker sakit paru paru asma alergi mandul pria larang bakar sampah indonesia sangsi pidana oknum bakar sampah cari solusi pilah kompos cari angkut sampah jual bank sampah pilih parkir sampah sera tong sampah gor ngurah rai perintah urus sistem sampah contoh masyarakat','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'tukang kebun bakar sampah kali dlhk kades koordinasi manajemen gor salah contoh perintah langgar sampah bal bakar sampah buang sampah sembarang ya bal destinasi pariwisata sehat bersih mohon oknum proses terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'tukang sapu tukang kebun bakar sampah pagi parkir utara gor denpasar kali mesti masyarakat adu cemar lingkung hari henti pingpong kesini kesana manajemen gor kemarin masyarakat bakar sampah habis olah raga lihat foto oknum bawa sapu pakai pakai olah raga masyarakat tugas bersih bakar sampah mari pikir logis titik bakar sampah tembok gor tumpah sampah kumpul tukang sapu jalan sembunyi bakar tukang sapu perintah gor urus sampah sesuai uu monitoring atas tukang sapu lapang saran dlhk jam pagi jam oknum pulang barang bukti hangus mohon survei teliti detektif oknum nakal tangkap masyarakat percaya perintah tangan lingkung polusi kota denpasar bal terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'pohon indang pohon suar lintang jalan hotel santri bahaya guna jalan mohon tebang musim hujan lokasi jalan danau tamblingan','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'maaf dinas kait kelola depo sampah d belah selatan lapang lumintang buang sampah kena biaya depo mohon informasi terima kadih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'menindaklanjuti tanggal juli fakta lapang pikir zat air busa setebal libur malam','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon perhati kait sengaja kemarin sore lintas jalan nusakambangan truk sampah foto sampah penuh jatuh jalan sampah plastik bangan mohon atensi next time ulang sopir perhati kendara belakang okupansi sampah bawa','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon pindah buang sampah terminal tegal bau ganggu warga terminal terminal tegal tapis mohon arah plang larang bakar sampah asap polusi sampah kubur badung bekas upacara ngaben ziarah jawa mohon plang larang buang sampah sembarang buruk terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'bakar sampah lanjut alamat jimbaran taman griya jalan mandiri vi belah rumah gedong becik residence akibat asap tebal resah warga langgar atur uu ri no olah sampah pasal huruf g perda kota denpasar no mohon wajib tindaklanjuti terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'bakar sampah lanjut rumah taman griya jalan mandiri vi resah warga','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon dinas dlhk pohon santen jatuh jalan lokasi jalan taman pancing barat pemogan','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'rahajeng pagi sesuai temu aparat desa kepaon bahas tukad pancing busa tutup buang limbah jadi','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'informasi angkut sampah jalan kartini mohon angkut pagi minggu sampah angkut jam pagi jam aktivitas warga ramai mobil sampah halang jalan masuk huni warga angkut jam sibuk ganggu aktivitas warga jalan kumuh sampah tumpuk terima kasih mohon tindak','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'selamat pagi lanjut adu kemarin angkut sampah mobil sampah sampah angkut siang pk adu kemarin tanggap siang sampah angkut tunggu tindak','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon atensi tangan tindak kait wenang tangan limbah pabrik ujung selatan jalan pulau biak denpasar dapat buang limbah alir sungai badung lintas lingkung pabrik sekian kali ingat tugas langgar buang limbah pabrik bau sedap sungai hindar tugas warga mohon tindak lanjut sangsi cabut izin produksi bau limbah buang cari sungai polusi udara lingkung sekian terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'sampah sera tepi jalan gunung himalaya mohon dinas kait ditindaklanjuti orang buang sampah jalan mohon sedia sampah bak ambil terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'kait adu terna babi jalan hanituah gang mawar nomer sanur terna keluar aroma busuk siang masak makan babi buat limbah restoran malam aroma busuk cium kotor babi bayi lahir kamar samping milik masak makan babi busuk mohon milik tindak bau bikin mual','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'lapor pohon lingkung tinggal jalan cargo taman iii no x banjar uma sari rawan sambar petir angin mohon tindak lanjut','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon atensi pohon tumbang halang jalan jalan himalaya denpasar belah timur toko ribu terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon bantu kait pohon roboh tabrak mobil jalan letda tantular bakso ayu minarti','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'walikota denpasar masyarakat urus dokumen lingkung atur walikota mana urus dokumen lingkung wajib lampir cek list gambar perijinan urus dokumen lingkung kait ijin apotek wali lampir sp mohon cerah walikota denpasar hormat oknum jabat atur sulit sulit masyarakat urus dokumen lingkung','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon bersih pohon liar rumah pu tempat urus bahaya rumah alamat rumah jalan dam tukad badung foto ambil rumah gang yupiter','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'selamat pagi informasi sungguh pk pagi sampah tumpuk jalan kartini angkut tugas mohon kait kece angkut sampah siang area terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'tolong dinas kait rompes pohon indang jenis pohon mangga rimbun tepat plank jahit wisnawa jalan tukad balian musim angin kencang','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'tolong dinas kait rompes pohon indang rimbun tepat masuk jalan tukad badung xx arah jalan tukad badung musim angin kencang','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon dinas kait rompes pohon indang dekat rimbun tepat masuk jalan tukad badung xi arah jalan tukad badung musim angin kencang','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'selamat pagi lapor sampah jalan kartini pagi angkut kemarin sampah angkut jam pagi lapor tanggap kait maaf wajah kota kumuh sampah tumpuk pinggir jalan aktivitas warga ramai lintas padat tolong perhati terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon dinas kait rompes pohon indang rimbun tepat toko prima kaca jalan tukad bilok','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'pohon tumbang jalan antasura peguyangan kangin belah apotek putra asih pohon tumbang jalan ganggu guna jalan','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon dinas kait rompes pohon indang pohon indang rimbun dekat pohon rompes tepat banjar sidakarya jalan sidakarya musim angin kencang','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon dinas kait rompes pohon indang rimbun tepat dil furniture jalan bypass ngurah rai sanur musim angin kencang','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon dinas kait rompes pohon indang rimbun tepat canifeli vet bal jalan didik rompes pohon indang rimbun tepat wr jawa jalan didik musim angin kencang','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'tolong disidak telusur cemar limbah buang sungai taman pancing buang limbah malam malam air sungai busa warna pekat kadang bau tolong kasihan ekosistem situ ikan mabuk mati','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'sampah buang tapis timur lap buyung stadion kompyang sujana bau sampah sengat radius meter ganggu napas musim hujan bau sampah tebar mohon instansi kait atas sekian terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'selamat pagi lapor angkut sampah jalan kartini mobil sampah angkut sampah jam pasar sibuk contoh mobil angkut sampah jam pagi jalan gajah mada sampah tumpuk pinggir jalan mohon sampah angkut pagi jalan macet halang jalan masuk kendara warga wajah kota kumuh catat foto ter upload mohon kelola aplikasi ecek terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon dinas kait rompes pohon indang rimbun tepat putu laundry jalan batur sari rompes pohon indang rimbun sinar bintang butique jalan batur sari musim angin kencang','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon dinas kait rompes pohon indang rimbun tepat wr jawa jalan didik musim angin kencang','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'kontainer sampah pagi kosong sopir bawa kontainer penuh sampah lokasi jalan gunung agung bekas pasar loak smpn denpasar cek jam pagi terima kasih cek','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon dinas kait rompes pohon indang rimbun tepat masakan padang sari raso jalan diponegoro wilayah set rompes pohon indang sego kucing sambel jalan diponegoro wilayah set musim angin kencang','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon dinas kait rompes pohon indang rimbun tepat dewata audio jalan sidakarya musim angin kencang','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon perhati bersih lahan parkir belah timur gor lila bhuana denpasar area kotor sampah sera perhati','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'pinggir rumah jalan kuwum no x kayu api sampah tetangga rumah jalan kuwum x buang bakar plastik bayar koleksi sampah tolong cek makasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon dinas kait rompes pohon indang rimbun jenis pohon mangga tepat sinar bintang butique jalan batur sari musim angin kencang','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'tugas kait mohon bantu rompes pohon area halaman parkir ruko juntai lebat musim angin kencang terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'pasuk musim hujan pohon pohon indang rimbun sisi pohon pohon menghalagi rambu rambu larang parkir jalan nyeri desa sumerta kaja camat dentim denpasar sewaka dharma hormat perintah kota dinas lingkung hidup bersih perintah kota denpasar dkp kota denpasar hormat titiang ngurah putra mohon tag dinas kait mangkas pohon pohon indang rambu rambu pakai jalan sekian terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon informasi tidak tanam pohon indang pohon kokoh rumah pinggir jalan lebar m jalan utama belah barat perumnas monang maning mohon info','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon dinas kait baik posisi pohon indang median taman jalan miring tepat traffic light simpang tirtanadi jalan bypass ngurah rai sanur','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'selamat siang dinas dlhk ada rencana program dinas dpmptsp cek ijin online sppl upl ukl pantau aplikasi pro denpasar terima kasih mohon maaf','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon dinas kait mangkas pohon pohon lebat pohon tumbang ganggu guna jalan jalan tukad yeh aya tepat indomaret','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon dinas kait rompes pohon indang rimbun tepat triset dk jalan sidakarya musim angin kencang','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'tolong perhati jalan kertha dalem tukad sempol baik jalan pangkas tanam jalan potong orang suwung renon jalan sempit','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'pohon indang jalan jalan hayam wuruk no toko alfaexpress kabel listrik bahaya kabel hujan mohon pangkas batang','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'lapor keluh kait tolak aju rekomendasi ukl upl dinas lingkung hidup bersih dokumen lengkap sesuai arah tugas layan kece dokumen tolak lengkap surat kuasa peta kaidah kartografi loket layan nyata lengkap konsultasi contoh kurang berkas serta solusi jalan keluar mohon tindak lanjut mohon sulit aju ijin terima kasih','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon dinas kait rompes pohon indang rimbun tepat plank griya wangi homestay jalan mukti sari musim angin kencang','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon bantu mobil sampah tebang pohon nganga ganggu kabel pln pohon takut pas hujan angin roboh tukang sampah motor bak berani ambil mohon bantu ya kotor alamat jalan tukad ijogading no renon denpasar no hp','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'kad lhk kondisi kini gunung sampah depo citarum panjer','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'mohon dinas kait rompes pohon indang rimbun tepat bakso kawi malang jalan tukad nyali musim angin kencang','Dinas Lingkungan Hidup Dan Kebersihan Kota Denpasar'
'tolong ditindaklanjuti lapor jalan lubang jalan tukad bilok tolong lubang jalan tukad bilok tambal','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'tolong ditindaklanjuti lapor jalan rusak jalan waribang tolong tambal jalan lubang jalan waribang','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'tolong ditindaklanjuti lapor jalan rusak jalan danau buyan tolong tambal bersih sisa gali lokasi tepat traffic light banjar taman sari sanur','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'tolong ditindaklanjuti lapor jalan rusak jalan sedap malam tolong tambal jalan lubang jalan sedap malam','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'got macet jalan gunung karang denpasar','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon baik jalan jalan tomo b gatsu barat jalan rusak parah mohon ditindaklanjuti','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'tolong bersih sisa gali situ bekas gali tambal tambal lokasi tepat traffic light banjar taman sari sanur jalan danau buyan tolong tambal jalan lubang depang goddes bakery jalan danau buyan','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon baik jalan rusak jalan tomo b gatsu barat mohon tindak lanjut perintah denpasar terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan lubang jalan tukad badung persis gardu listrik instansi kait pu pln atas rawan celaka lintas','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'tolong tambal jalan lubang goddes bakery tepat jalan danau buyan','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan tukad batanghari xiv x v tukad pancoran tukad punggawa rusak tukad batanghari x baik sebentar rusak tukad batanghari xiv sentuh jalan rusak parah kantor perintah tukad pancoran jalan alternatif tukad pakerisan macet mohon perhati','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon solusi got utama alir air tutup air hujan lumpur genang toko timbul bau sedap lokasi jalan teuku umar barat gang kerta pura','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'lampu terang jalan jalan rusak jalan lembu sura v','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan lubang warung ole jalan mahenderadatta denpasar','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'warga tinggal jalan pakis aji gang cenganganasari jalan pakis aji rusak parah lubang mohon instansi kait ecek baik jalan rusak lubang sekian terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'cempaka biru selatan buluh indah camat denpasar barat kota denpasar provinsi bal alami rusa parah jalan aspal rumah musim hujan genang air jalan mohon segenap perintah kota denpasar menindaklanjuti terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon jelas salur air got gang ramadewa jalan tukad badung renon buat gang buat kendala hambat mohon jelas mohon buat salur','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'cekung jalan gunung andakasa indomaret sisi barat jalan lokasi lampir bahaya kendara sepeda motor terkadang hati hati mohon baik','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon bantu kad pupr sender got jebol mohon tindak lanjut alamat jalan bedahulu v banjar prajasari lurah peguyangan','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'kad pu mohon d bantu jalan siul batas laplap kauh kfc sunset lubang','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan gunung rinjani jalan masuk jalan gunung kalimutu monang maning ruko milik sair kondang tan lio lie lubang lebar bahaya guna kendara motor harap cepat baik makan korban terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'lapor tiga kali mohon instansi kait bantu baik jalan jalan kepaon indah jalan pinggir sungai lokasi lampir map nya akses komplek jalan rusak lubang lebar sulit kendara motor bahaya hujan lubang titik tambal plester jalan rusak biar rusa parah jalan sulit bahaya lewat','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon kait tolong tindaklanjuti rusa jalan gambar bahaya guna motor','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'mohon baik salur air jalan jalan tukad tegal wangi set alir air sumbat','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
'jalan got gang wijaya kusuma jalan tukad tegal wangi rusak got penuh tanah bantu baik jalan mohon baik terima kasih','Dinas Pekerjaan Umum Dan Penataan Ruang Kota Denpasar'
